회사명,거래소코드,감사의견코드,라벨,23감사의견,계중불,의견근거,강조사항(감사의견영향X),,,,,,,,,,
(주)국보,1140,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)시스웍,269620,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)코다코,46070,DS,1,의견거절,0,1,0,,,,,,,,,,
(주)아이에이치큐,3560,DS,1,의견거절,1,0,0,,,,,,,,,,
(주)아이엠,101390,DU,1,적정,0,0,0,,,,,,,,,,
(주)알에프세미,96610,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)에이디칩스,54630,DU,1,의견거절,0,1,0,,,,,,,,,,
삼부토건(주),1470,DU,1,한정,0,1,0,,,,,,,,,,
범양건영(주),2410,DU,1,적정,1,0,0,,,,,,,,,,
(주)이엔플러스,74610,DU,1,적정,1,0,0,,,,,,,,,,
(주)한창,5110,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)프로브잇,227100,DU,1,적정,1,0,0,,,,,,,,,,
(주)제일엠앤에스,412540,DS,1,적정,0,0,0,,,,,,,,,,
(주)스튜디오산타클로스엔터테인먼트,204630,QS,1,한정,0,0,1,,,,,,,,,,
(주)셀레스트라,352770,DU,1,적정,1,0,0,,,,,,,,,,
(주)코스나인,82660,DU,1,적정,1,0,0,,,,,,,,,,
이오플로우(주),294090,DU,1,적정,0,0,0,,,,,,,,,,
한국유니온제약(주),80720,DU,1,적정,0,0,0,,,,,,,,,,
(주)드래곤플라이,30350,DU,1,적정,0,0,0,,,,,,,,,,
(주)금양,1570,DU,1,적정,1,0,0,,,,,,,,,,
(주)세토피아,222810,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)디에이테크놀로지,196490,DU,1,적정,1,0,0,,,,,,,,,,
테라사이언스(주),73640,DS,1,의견거절,0,0,0,,,,,,,,,,
케이씨그린홀딩스(주),9440,DS,1,적정,0,0,0,,,,,,,,,,
케이씨코트렐(주),119650,DS,1,적정,0,0,0,,,,,,,,,,
(주)비에프랩스,139050,DU,1,의견거절,0,0,0,,,,,,,,,,
(주)비유테크놀러지,230980,DU,1,의견거절,0,1,0,,,,,,,,,,
이원다이애그노믹스(주),245620,DU,1,의견거절,0,1,0,,,,,,,,,,
지더블유바이텍(주),36180,DU,1,적정,0,0,0,,,,,,,,,,
(주)노블엠앤비,106520,DU,1,의견거절,0,1,0,,,,,,,,,,
(주)푸른소나무,57880,DU,0,의견거절,0,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
