회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),기말이익잉여금(결손금)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),이자비용(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),종가(원),보통주(IFRS연결)(주),총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동생물자산증가율(IFRS연결),투자부동산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),정상영업이익증가율(IFRS연결),순이익증가율(IFRS연결),총포괄이익증가율(IFRS연결),종업원1인당 부가가치증가율(IFRS연결),종업원수증가율(IFRS연결),종업원1인당 매출액증가율(IFRS연결),종업원1인당 인건비증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),외환이익 대 매출액비율(IFRS연결),광고선전비 대 매출액비율(IFRS연결),세금과공과 대 세금과공과 차감전순이익률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),R & D 투자효율(IFRS연결),세금과공과 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),사내유보율(IFRS연결),사내유보 대 자기자본비율(IFRS연결),적립금비율(재정비율)(IFRS연결),평균배당률(IFRS연결),자기자본배당률(IFRS연결),배당성향(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당순자산(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),재고자산 대 순운전자본비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),비유동부채 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),이자보상배율(순금융비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),종업원1인당 매출액(IFRS연결)(백만원),종업원1인당 정상영업이익(IFRS연결)(백만원),종업원1인당 순이익(IFRS연결)(백만원),종업원1인당 인건비(IFRS연결)(백만원),노동장비율(IFRS연결),기계장비율(IFRS연결),자본집약도(IFRS연결),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),부가가치(IFRS연결)(백만원),법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),임차료(IFRS연결)(백만원),세금과공과(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),종업원1인당 부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),종업원수(IFRS연결),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),감사의견코드,라벨
(주)CMG제약,58820,Dec.24,134859155,31457218,303436817,13893853,2694712,185614,0,99099733,113894698,1768,138892244,25.34,53.77,0,0,33.41,16.52,15.65,-0.36,5.53,-66.4,-58.26,-58.68,,,,,46.14,1.03,2.72,1.52,0.37,0.99,0.54,1.42,0.6,1.58,1.47,3.88,53.86,98.97,1.88,5.3,-0.62,5.69,1.57,6.44,0.76,91.34,19.32,0,0,-0.57,3.08,9.71,58.78,-0.75,3.14,4.74,172.93,,,62.67,,,,713.5,19,2.09,,7.35,44.44,17.64,80,36.6,55.56,62.47,37.53,272.93,88.94,61.98,428.71,353.09,8.23,131.63,23.01,260.64,173.59,50.5,60.09,16.6,1.38,43.49,79.73,34.08,26.35,42.19,0.41,999999999,39.58,1.73,126.44,148.81,191.5,1.84,2.63,0.69,2.12,0,0.36,0.58,0.52,1.43,1.2,9.34,39.06,0.79,0.96,4.47,81.69,6,39.1,31.95,3.63,100.61,0.67,1.54,0.65,0,0.01,27022.45,,,,,,,,,8.91,81,790.5,27.27,77.59,22.41,9.97,27022.45,2880.33,20966.85,-617.96,447.24,0,3346,,8.91,790.5,27.27,,110.91,69.84,2.05,1.29,642.8,404.77,3.57,2.25,322125.72,4704.22,UQ,
(주)ES큐브,50120,Dec.24,26261494,2041697,90410906,-10846941,909489,403329,0,16172076,4509175,1894,13564086,2.98,1.97,0,0,20.47,-23.98,-38.73,4.09,-74.47,0,0,0,,,,,13.12,-23.14,5.62,-3.75,-4.2,1.02,-4.44,1.08,-9.71,2.36,-5.42,1.32,86.88,123.14,31.26,8.46,-2.04,6.42,0,43.49,0.65,94.42,37.18,0,1.34,-1.48,4.11,10.42,67.44,-6.75,4.11,3.98,25.79,,,17.78,,,,1192.27,68,338.96,,-275.95,29.05,22.44,40.94,22.53,70.95,95.01,4.99,124.33,74.68,72.59,1286.26,997.56,719.18,82.79,24.34,1157.24,264.55,7.15,5.25,2.38,20.12,2.87,10.19,26.79,2,2.1,-50.38,999999999,19.71,0.26,187.99,362.97,213.13,180.17,449.95,8.99,50.24,0,0.18,0.42,0.19,0.23,3.31,32.8,11.13,0.53,0.71,2.08,175.08,5.32,6.51,7.77,2.35,155.5,0.28,2.04,0.49,0,0,10454.51,,,,,,,,,11.56,130.84,1369.91,64.65,79.02,20.98,8.7,10454.51,1312.82,8261.3,-329.84,0,296.67,913.58,,11.56,1369.91,64.65,,10.87,4.68,0.49,0.21,8.64,3.72,3.83,1.65,19037.92,-1386.09,UQ,
(주)MH에탄올,23150,Dec.24,60311748,290086194,401701921,69511669,-19633918,4306514,0,100419425,324598919,5550,7378526,-9.78,-11.07,0,0,-11.41,0.71,-10.2,-7.63,-4.8,-43.61,0,-163.51,,,,,37.46,10.62,-19.55,2.71,2.52,-4.64,12.11,-4.63,2.61,-4.81,232.07,-67.66,62.54,89.38,-25.89,-10.77,10.63,0,0.02,0,-2.12,114.21,13.36,0,6.04,8.66,11.89,5.91,55.49,3.18,5.86,5.45,1443.95,,,113.23,,,,13609.69,-480,2303.84,,1445.76,15.01,16.32,17.67,12.56,84.99,19.19,80.81,1402.62,442.77,305.86,20.79,17.4,9.61,121.79,0,2707.15,753.86,4.5,420.99,376.23,93.55,44.76,0,-57.2,48.75,254,0.93,-0.44,19.67,17.19,59.85,361.85,385.65,5.58,9.24,4.51,18.03,1,0.24,0.25,1.14,21.85,0.3,213.63,1.71,1.67,2.02,9.65,37.82,50.73,18.23,258.73,8.32,43.85,0.28,0.29,0.34,0,0.01,33879.16,,,,,,,,,8.43,10.54,1248.47,33.74,48.56,51.44,-57.95,33879.16,-15327.4,16453.32,10669.81,0,7444.39,14639.06,,8.43,1248.47,33.74,,12.05,7.88,0.77,0.5,9.24,6.04,0.96,0.63,87253.5,8005.43,UQ,
(주)SH에너지화학,2360,Dec.24,71908117,13659612,110375913,18788445,-10416231,-2235298,0,126047268,30420665,527,111133730,-8.62,-16.39,0,0,-9.92,-7.91,3.81,-11.31,-5.96,0,0,0,,,,,-0.03,-7.69,-8.26,-7.44,-8.39,-9.01,-11.4,-12.27,-8.9,-9.57,-17.39,-18.68,100.03,107.69,-2.35,0.92,-0.35,0.58,0,0,-9.39,109.85,12.14,0,0,-0.31,1.73,8.01,180.6,-1.43,4.59,4.48,47.45,,,31.24,,,,1134.13,-95.4,-42.47,,-87.23,65.15,29.1,186.93,46.19,34.85,72.44,27.56,143.17,48.11,39.77,526.43,373.24,140.79,85.06,35.92,1453,130.07,5.85,38.05,17.08,65.69,20.96,28.78,52.77,12.93,17.85,-14.8,999999999,24.1,0.48,59.5,32.2,81.4,-0.75,-1.6,-0.21,-0.18,0,1.09,1.16,1.48,2.26,4.13,95.91,3.81,1.68,2.31,6.14,59.48,9.31,20.17,168.72,6.84,53.39,3.11,3.91,1.43,0,0.01,6011.93,,,,,,,,,5.45,20.48,41.53,4.77,284.93,-184.93,-173.26,6011.93,-12651.53,17129.64,-437.09,0,0,2443.43,,5.45,41.53,4.77,,0,0,1.37,0.65,0,0,0.86,0.4,59934.65,-6853.42,UQ,
(주)SIMPAC,9160,Dec.24,584417406,437888404,1079604688,467470280,27454726,10496156,0,785061758,474348566,3755,65429516,2.05,25.96,0,5.61,19.58,-9.23,50.53,3.89,28.81,39.71,0,0,,,,,9.61,3.11,3.5,3.13,2.29,2.57,4.12,4.62,2.68,3.01,74.75,83.92,90.39,96.89,1.72,-0.42,0.33,0.89,0,27.66,2.81,95.52,5.05,0,0,0.32,1.54,11.51,171.71,0.55,4.39,3.91,1867.26,,,100.91,,,,11998.59,506,-317.25,,373.73,54.13,51.17,118.02,26.44,45.87,56.06,43.94,1850.1,81.81,77.17,133.46,65.18,29.69,34.4,204.07,319.77,51.25,10.76,78.37,72.35,94.42,6.02,24.88,13.57,24.51,43.71,2.1,15.6,56.58,18.67,78.23,57.91,116.22,4.56,8.18,2.01,2.76,9.41,0.73,0.86,1.32,24,1.65,28.2,12.95,1.28,2.15,3.16,115.69,4.76,30.22,22.07,8.94,40.81,1.73,2.7,0.74,0,0.01,94118.39,,,,,,,,,8.72,32.52,379.15,11.99,43.59,56.41,29.17,94118.39,37950.88,41024.23,2599.01,0,0,12544.26,,8.72,379.15,11.99,,9.99,5.69,0.66,0.38,31.94,18.2,0.61,0.35,321962.85,33495.11,UQ,
(주)STX,11810,Dec.24,285265000,422042000,576408000,-155716000,-40885000,-4010000,0,827800000,457751000,4355,31017927,-0.39,-0.37,0,0,12.84,-11.04,19.81,-37.7,-8.41,0,0,0,,,,,3.47,-1.05,-4.94,-0.79,-1.51,-7.08,-6.52,-62.71,-1.67,-7.85,-11.23,-56.74,96.53,101.05,-4.38,-3.15,1.99,-1.79,0.02,0,-4.23,105.07,3.95,0,0.15,1.77,0.79,7.64,103.2,3.71,6.3,6.38,-28.97,,,467.8,,,,26687.79,-1423,1126.8,,-280.77,49.49,27.16,97.98,36.05,50.51,20.59,79.41,69.47,245.37,188.61,67.59,49.24,10.66,125.13,0,137.47,305.57,91.02,385.78,355.68,94.85,30.09,0,-23.73,56.72,275.51,-0.42,-1.73,7.34,0.55,36.6,33.17,61.56,-2.87,-4.02,-2.28,-1.59,-0.53,1.43,1.59,6.19,10.68,1.86,12.99,28.1,2.73,3.57,11.65,31.33,35.14,152.37,48.6,7.62,47.89,3.01,4.05,1.16,0.17,0.02,18917,,,,,,,,,3.28,9.26,167.82,2.29,194.37,-94.37,-216.13,18917,-44946,36769,16454,1928,1356,7356,,3.28,167.82,2.29,,0,0,9.89,3.07,0,0,0.58,0.18,383125.07,-8620,UQ,
(주)STX그린로지스,465770,Dec.24,54306005,99153865,239026713,26227571,25558945,83872,0,70543552,163553214,7930,7171032,0,0,0,0,0,0,0,0,0,0,0,0,,,,,16.68,10.15,36.23,3.14,2.99,10.69,9.48,33.86,3.19,11.4,39.92,142.57,83.32,89.85,26.2,-4,3.6,-2.83,0,0.33,11.76,73.94,21.3,0,0,3.49,20.82,10.69,26.6,1.55,2.85,2.85,325.8,,,34.75,,,,9837.29,3470,3354.51,,998.12,22.72,11.13,29.4,20.19,77.28,31.58,68.42,420.99,244.75,132.06,54.77,48.67,15.62,249.31,0,0,0,0,216.7,131.38,38.27,85.33,0,-18.76,42.39,134.25,2.48,11.1,24.44,3.26,76.98,261.85,317.81,14.71,23.74,10.06,34.1,2.82,0.3,0.31,0.93,3.93,0.43,0,0,1.3,1.46,11.67,31.28,0,0,0,4.68,77.99,0.38,0.58,0.46,0.06,0.01,58830.1,,,,,,,,,24.61,48.01,170211.2,83.4,26.34,73.66,43.45,58830.1,25642.82,15497.22,2539.57,0,0,15150.48,,24.61,170211.2,83.4,,23.02,9.37,2.31,0.94,7.38,3,2.62,1.07,107680.2,21195.91,UQ,
(주)TCC스틸,2710,Dec.24,226678498,271028506,573950625,132949288,20222969,5392240,0,582074815,314934973,27200,26213697,2.54,5.83,0,5.13,5.2,-1.28,6.6,10.42,-6.78,9.08,0,0,,,,,7.44,2.11,3.47,2.51,2.17,3.57,4.97,8.3,3.27,5.39,46.82,76.91,92.56,97.89,2.29,-0.74,1.26,0.91,0.01,21.05,4.86,95.81,7.41,0,0,1.23,1.61,7.88,51.86,2.3,4.13,3.8,872.61,,,79.38,,,,22204.99,769,684.06,,468.17,39.49,52.33,65.27,18.83,60.51,45.13,54.87,972.61,134.07,114.64,83.64,39.87,2.88,71.56,0,180.07,223.13,39.74,121.59,104.64,87.84,16.95,0,-7.73,39.33,87.14,1.32,4.48,40.56,8.88,39.2,58.19,77.61,3.76,5.25,2.06,2.04,1.67,1.03,1.55,2.36,22.2,1.82,13.21,27.63,2.55,5.14,5.06,72.08,16.78,14.96,0,7.02,52,1.72,2.66,1.23,0,0.01,86958.95,,,,,,,,,15.15,40.48,61.66,14.94,51.1,48.9,23.26,86958.95,25615.21,44434.43,7350.47,0,0,9635.34,,15.15,61.66,14.94,,137.61,42.45,11.01,3.4,84.49,26.06,5.13,1.58,922902.89,19728.69,UQ,
(주)가비아,79940,Dec.24,159674949,120759833,634500844,148948637,28592628,4160673,0,282417869,287789539,16470,13535684,37.14,80.32,0,0,93.91,-26.69,-28.13,11.66,7.96,-17.59,-8.72,-9.72,,,,,43.81,12.43,10.12,6.97,6.4,5.21,11,9.49,7.44,6.06,518.77,216.16,56.19,87.57,-0.83,0.91,-0.18,0.44,0.74,19.4,5.12,88.65,28.76,0,1.06,-0.2,12.11,13.41,21.15,-0.22,1.34,1.78,2411.82,,,100.77,,,,20864.69,1140,5041.97,,2593.87,25.17,3.21,33.63,24.36,74.83,54.64,45.36,2403.43,136.95,92.43,132.23,127.98,57.83,921.45,13.18,327.07,921.45,281.73,83.01,34.83,19.71,48.18,429.22,6.13,30.61,56.02,13.47,999999999,54.73,51.31,66.83,127.42,211.12,21.97,32.55,9.96,22.39,0,0.51,0.6,0.88,41.73,1.23,19.59,18.63,1.5,1.55,46.05,7.93,46.05,0,0,6.74,54.15,0.78,0.92,0.96,0.03,0.02,139494.11,,,,,,,,,21.98,35.53,2813.34,49.39,52.73,47.27,20.5,139494.11,32753.3,73558.41,-500.23,0,2720.04,30962.58,,21.98,2813.34,49.39,,42.92,21.68,4.14,2.09,17.19,8.68,3.58,1.81,313726.88,20009.43,UQ,
(주)가온칩스,399720,Dec.24,74719726,36227942,112708406,34662497,7530549,-2058129,0,96492002,43353386,39100,11597320,19.13,42.67,0,0,25.56,16.11,0,11.83,51.72,-19,18.7,19.92,,,,,14.76,3.65,7.8,4.37,3.4,7.26,5.37,11.46,3.65,7.8,61.08,130.48,85.24,96.35,2.02,2.03,-0.56,1.47,0,-37.61,6.74,94.57,25.58,0,0,-0.57,6.2,21.67,22.07,-1.43,6.47,6.44,1096.05,,,90.6,,,,8399.14,655,940.43,,306.83,66.29,0,196.69,66.29,33.71,61.53,38.47,1196.05,54.77,49.67,206.25,206.25,51.66,0,0,74.47,0,0,62.51,52.24,11.81,10.27,18.51,34.15,6.26,10.17,7.72,999999999,56.39,10.96,72.07,35.36,108.05,19,116.71,7.31,8.53,0,0.93,1,1.47,16.72,2.54,5.48,66.66,1.39,1.39,0,0,0,0,0,5.99,60.98,2.83,5.43,0.96,1,0,35232.37,,,,,,,,,31.26,168.76,2059.57,36.51,69.22,30.78,21.37,35232.37,5472.42,24388.77,-543.66,0,0,5914.85,,31.26,2059.57,36.51,,200.41,43.01,22.89,4.91,168.71,36.21,15.23,3.27,444141.88,9097.4,UQ,
